PURCHASE_DATE,PURCHASE_HOUR,REGION_ID,TYPE_ID,APP_ID,PREMIUM_APP,BASIC_APP,CANCELED_PURCHASES,REVENUE
5/22/2019,35,31,33,2001,28,31,67,3188589.12
4/12/2019,58,55,87,2002,32,21,92,1161212.1
6/2/2019,50,99,42,2003,99,67,58,5321883.77
8/23/2019,69,5,15,2004,22,34,81,8993050
12/12/2019,96,65,87,2005,61,63,50,8911416
3/15/2019,54,1,68,2006,88,14,10,7918753.04
12/22/2019,73,38,22,2007,2,78,1,6029155.98
10/3/2019,72,97,28,2008,17,92,30,4349267.23
4/7/2019,61,58,8,2009,21,23,62,4920961.73
12/25/2019,10,86,49,2010,43,1,20,3132460.83
5/4/2019,78,42,75,2011,57,39,72,6834776.54
12/23/2019,35,89,92,2012,40,74,26,2606384.76
12/28/2019,49,71,10,2013,27,50,66,8668011
1/23/2020,68,94,13,2014,57,31,24,8278032
3/5/2020,89,4,18,2015,26,47,89,1059100.55
1/2/2020,81,41,40,2016,17,32,53,6576457.1
6/1/2019,9,19,51,2017,22,100,87,6189210.81
10/12/2019,98,23,76,2018,6,100,24,7256404.14
10/19/2019,26,54,1,2019,36,32,10,4069071.75
9/7/2019,23,27,58,2020,35,8,72,3631395
5/28/2019,78,54,39,2021,69,20,16,5319522
1/11/2020,80,5,39,2022,100,16,88,1361910
7/17/2019,73,36,61,2023,34,15,31,5410154
12/23/2019,90,83,5,2024,37,100,69,1276678.38
1/9/2020,43,40,74,2025,28,20,16,6420959
9/4/2019,83,22,17,2026,80,58,46,9140452
6/18/2019,1,8,58,2027,1,20,87,6759414
11/26/2019,48,100,84,2028,47,68,49,860690.02
5/30/2019,2,31,92,2029,84,51,11,3170798.24
8/4/2019,3,28,67,2030,57,18,47,4857201.56
5/20/2019,9,45,31,2031,84,11,63,2687215.43
6/20/2019,65,1,60,2032,90,13,50,4805077
2/3/2020,40,83,34,2033,56,34,71,1933543.72
5/4/2019,34,18,54,2034,98,65,67,3688190.84
10/17/2019,98,94,59,2035,38,66,51,1989818.34
6/10/2019,23,42,46,2036,94,95,90,6967445
7/11/2019,83,69,75,2037,34,30,75,7236298
11/17/2019,40,69,68,2038,62,15,18,5236677
11/2/2019,96,98,58,2039,9,64,89,9071033
7/23/2019,41,55,11,2040,96,86,59,5618500
12/29/2019,54,3,49,2041,65,93,32,2210603.44
5/30/2019,80,72,35,2042,32,40,84,8801116
3/6/2020,45,46,14,2043,39,79,22,7989859.82
6/20/2019,10,18,72,2044,10,79,49,796177.14
12/2/2019,15,38,69,2045,55,32,4,7348809
7/17/2019,84,88,30,2046,59,19,48,9459796
2/21/2020,62,60,16,2047,53,29,32,8676130
3/16/2019,70,31,92,2048,91,18,98,2143384.31
8/19/2019,99,3,22,2049,8,31,34,1740051
10/2/2019,53,92,58,2050,22,47,44,2089190.23
4/28/2019,81,85,84,2051,70,37,54,4007416.36
10/1/2019,85,48,89,2052,27,43,87,1903193.49
4/24/2019,65,31,36,2053,75,5,99,1351794
7/18/2019,88,81,18,2054,26,100,88,5086342.02
9/14/2019,30,90,10,2055,99,90,23,8197058
11/16/2019,91,5,60,2056,15,42,92,336908.83
12/6/2019,41,94,57,2057,48,23,96,4599564
10/20/2019,55,23,25,2058,49,78,43,4294476.81
1/12/2020,20,33,48,2059,56,74,71,6699658
6/20/2019,11,29,13,2060,55,54,55,1947873.49
8/20/2019,12,44,79,2061,29,7,90,5212752
11/16/2019,10,15,25,2062,7,2,93,2853019
3/8/2020,86,4,46,2063,22,33,4,4388152.19
2/6/2020,80,8,50,2064,49,68,64,9317951
1/11/2020,9,88,87,2065,8,54,97,9315431
3/31/2019,80,32,32,2066,53,1,3,2437896.75
4/16/2019,44,34,82,2067,24,16,21,8773196
11/28/2019,25,64,47,2068,60,88,6,1657663.89
5/19/2019,21,80,38,2069,99,20,68,4817548
10/2/2019,11,75,6,2070,43,73,75,3588960.67
11/17/2019,58,72,40,2071,42,86,88,19105.9
1/25/2020,33,5,98,2072,4,50,84,4248998.34
